Codice articolo (ATS),Material SAP Code (BP),Definire Conti Co.Ge. per,Gruppo articoli,Descrizione articolo,part number,Model Id,SUBCLASS,Technology,Produttore,Gestire n. lotto [Si/No],Gestione numeri di serie,verifica su sap
WMS0000001-FPX,WMS0000001-FPX,Gruppo articoli,WMS-Flex Packaging,0014-BS3-CLDFSPBR-1,0014-BS3-CLDFSPBR-1,,,,,No,Sì,OK
WMS0000002-FPX,WMS0000002-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLKOB2GRP,0029-BS3-CLKOB2GRP,,,,,No,Sì,OK
WMS0000003-FPX,WMS0000003-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLKOR2GRP,0029-BS3-CLKOR2GRP,,,,,No,Sì,OK
WMS0000004-FPX,WMS0000004-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLNNMNBCGR,0029-BS3-CLNNMNBCGR,,,,,No,Sì,OK
WMS0000005-FPX,WMS0000005-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLNNMNONCG,0029-BS3-CLNNMNONCG,,,,,No,Sì,OK
WMS0000006-FPX,WMS0000006-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CLPCNTNGRP,0029-BS3-CLPCNTNGRP,,,,,No,Sì,OK
WMS0000007-FPX,WMS0000007-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-CPSKRSS-1,0029-BS3-CPSKRSS-1,,,,,No,Sì,OK
WMS0000008-FPX,WMS0000008-FPX,Gruppo articoli,WMS-Flex Packaging,0029-BS3-DGCMR,0029-BS3-DGCMR,,,,,No,Sì,OK
WMS0000009-FPX,WMS0000009-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGANMARR-1,0060-BS3-1KGANMARR-1,,,,,No,Sì,OK
WMS0000010-FPX,WMS0000010-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGANMORO,0060-BS3-1KGANMORO,,,,,No,Sì,OK
WMS0000011-FPX,WMS0000011-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGANMRED,0060-BS3-1KGANMRED,,,,,No,Sì,OK
WMS0000012-FPX,WMS0000012-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGBRASGEN1,0060-BS3-1KGBRASGEN1,,,,,No,Sì,OK
WMS0000013-FPX,WMS0000013-FPX,Gruppo articoli,WMS-Flex Packaging,0060-BS3-1KGCRMBLEST1,0060-BS3-1KGCRMBLEST1,,,,,No,Sì,OK
